iter	Logloss	Accuracy
0	0.6733373745	0.8114478114
1	0.6532582161	0.824915824922	0.6361282112	0.823232323233	0.6195834135	0.823232323244	0.6029118606	0.826599326655	0.5894974814	0.82996633
6	0.5775339247	0.824915824977	0.5632836187	0.835016835
8	0.5529443492	0.835016835
9	0.5435653861	0.8316498316
10	0.5352365464	0.82996633
11	0.5261476318	0.8316498316
12	0.5212743045	0.82996633
13	0.5130574375	0.8282828283
14	0.5064608133	0.8316498316
15	0.4978388428	0.8282828283
16	0.4918916985	0.8282828283
17	0.4846510921	0.82996633
18	0.4794660492	0.8282828283
19	0.4720938577	0.82996633
20	0.4663461441	0.8333333333
21	0.4609906744	0.8333333333
22	0.4562493327	0.8333333333
23	0.4523611522	0.8316498316
24	0.4496356335	0.8316498316
25	0.4456572204	0.8316498316
26	0.4418391684	0.8316498316
27	0.4379113401	0.8316498316
28	0.4352989019	0.82996633
29	0.4323991128	0.82996633
30	0.4280714248	0.8316498316
31	0.42450954	0.8316498316
32	0.4216945421	0.8316498316
33	0.4191798095	0.8333333333
34	0.4165766692	0.8333333333
35	0.4146441457	0.8333333333
36	0.4115446846	0.835016835
37	0.4092108149	0.8316498316
38	0.4086308973	0.8316498316
39	0.4067821406	0.8333333333
40	0.4053751222	0.8367003367
41	0.4045553757	0.8367003367
42	0.40254845	0.8367003367
43	0.4009368027	0.8383838384
44	0.3979497432	0.8383838384
45	0.395813316	0.8400673401
46	0.3945440943	0.8400673401
47	0.3918957163	0.8400673401
48	0.3908989783	0.8417508418
49	0.3891584283	0.8417508418
50	0.3890421915	0.8400673401
51	0.3883142343	0.8417508418
52	0.387210435	0.8417508418
53	0.3855059265	0.8451178451
54	0.3839598891	0.8434343434
55	0.3823331032	0.8468013468
56	0.3814623591	0.8451178451
57	0.3799931708	0.8451178451
58	0.3782724796	0.8468013468
59	0.3769456309	0.8501683502
60	0.3757830469	0.8501683502
61	0.3747504239	0.8518518519
62	0.3737786482	0.8535353535
63	0.3737052058	0.8535353535
64	0.3733371993	0.8535353535
65	0.3716596445	0.8569023569
66	0.3689162433	0.8602693603
67	0.3679431289	0.8585858586
68	0.3662559908	0.8602693603
69	0.3660280324	0.8602693603
70	0.365038555	0.8585858586
71	0.3637698857	0.8585858586
72	0.3626942283	0.8602693603
73	0.3619204877	0.8602693603
74	0.3610956046	0.8602693603
75	0.3597930181	0.8602693603
76	0.3588792253	0.8636363636
77	0.3579674059	0.861952862
78	0.3569348104	0.8636363636
79	0.3566332493	0.8636363636
80	0.3554976091	0.861952862
81	0.3548546537	0.8602693603
82	0.3545521529	0.8602693603
83	0.3545306767	0.8602693603
84	0.353749472	0.8636363636
85	0.351990853	0.8636363636
86	0.3507574979	0.8653198653
87	0.3500074004	0.8636363636
88	0.3490653874	0.8653198653
89	0.3477507453	0.8686868687
90	0.3474213378	0.8686868687
91	0.3465366136	0.8686868687
92	0.3464747361	0.8686868687
93	0.3451071989	0.867003367
94	0.3448361341	0.867003367
95	0.3442708766	0.8720538721
96	0.343518454	0.8703703704
97	0.3431254343	0.8720538721
98	0.3430219123	0.8703703704
99	0.3421296323	0.8703703704
100	0.3415025484	0.8703703704
101	0.3406169702	0.8720538721
102	0.3391285483	0.8720538721
103	0.3385778413	0.8720538721
104	0.3376131366	0.8737373737
105	0.3364565663	0.8771043771
106	0.3355690527	0.8754208754
107	0.3355683709	0.8754208754
108	0.3345745431	0.8754208754
109	0.3334950445	0.8787878788
110	0.3322475741	0.8754208754
111	0.3317157605	0.87542087541112	0.3310846462	0.87542087511113	0.330446489	0.87542087541114	0.3294169161	0.87542087541115	0.3283228968	0.87710437711116	0.3271958148	0.87878787811117	0.3262193653	0.87878787118118	0.3261800642	0.8787878119	119	0.3255182445	0.878787120	0120	0.3254822276	0.878787121	0121	0.3249806963	0.878787122	0122	0.3246802652	0.878787123	0123	0.3245451345	0.878787124	0124	0.324147358	0.8787878125	125	0.3235422608	0.8787878126	126	0.3221845721	0.8821548127	127	0.3219392908	0.8821548128	128	0.321548967	0.88047138129129	0.3206512874	0.88047138130130	0.3198102453	0.88047138131131	0.3197370439	0.88047138132132	0.3185069728	0.88047138133133	0.3180841459	0.88047138134134	0.3180728752	0.88047138135135	0.3178590069	0.88047138136136	0.3170954908	0.88215488137137	0.3162237841	0.88047138138138	0.3154701609	0.88215488139139	0.3149511582	0.88047138140140	0.314774343	0.88047138014141	0.314022654	0.88383838381142	0.313129674	0.8838383838
143	0.3129383697	0.8838383838
144	0.3125827932	0.8838383838
145	0.3113993679	0.8855218855
146	0.3107194309	0.8821548822
147	0.3103210843	0.88383838381148	0.3093274086	0.88552188551149	0.3087919721	0.88720538721150	0.3082261993	0.88720538721151	0.3076843882	0.88720538721152	0.3070561717	0.88888888891153	0.3055364878	0.88720538721154	0.3053904148	0.88720538721155	0.305139853	0.8872053872
