iter	Passed	Remaining
0	474	474469
1	901	449836
2	1494	496712
3	2029	505425
4	2564	510303
5	3091	512115
6	3550	503708
7	4035	500452
8	4596	506071
9	5114	506335
10	5599	503425
11	6134	505038
12	6669	506348
13	7162	504443
14	7780	510922
15	8365	514460
16	8833	510800
17	9368	511089
18	10062	519530
19	10646	521698
20	11231	523611
21	11799	524554
22	12376	525727
23	12903	524733
24	13379	521810
25	13939	522197
26	14424	519799
27	14925	518143
28	15502	519068
29	16037	518553
30	16455	514377
31	17048	515725
32	17533	513791
33	18059	513113
34	18703	515688
35	19313	517171
36	19881	517459
37	20374	515803
38	20884	514615
39	21460	515062
40	22116	517308
41	22717	518178
42	23219	516767
43	23737	515753
44	24230	514229
45	24874	515873
46	25451	516060
47	26085	517372
48	26595	516173
49	27135	515570
50	27612	513810
51	28196	514048
52	28807	514724
53	29334	513893
54	29868	513194
55	30557	515105
56	31038	513494
57	31623	513604
58	32249	514353
59	32767	513362
60	33269	512128
61	33778	511042
62	34306	510234
63	34799	508939
64	35451	509952
65	36152	511608
66	36712	511229
67	37305	511309
68	37915	511585
69	38508	511612
70	39093	511516
71	39603	510442
72	40113	509388
73	40656	508757
74	41174	507820
75	41809	508316
76	42365	507831
77	42913	507261
78	43415	506145
79	44025	506293
80	44485	504718
81	44986	503633
82	45546	503206
83	46106	502782
84	46574	501365
85	47076	500323
86	47636	499906
87	48179	499311
88	48830	499829
89	49374	499228
90	49917	498626
91	50502	498435
92	50970	497096
93	51471	496101
94	52073	496072
95	52666	495946
96	53226	495503
97	53763	494841
98	54271	493925
99	54781	493032
100	55318	492389
101	55936	492461
102	56446	491573
103	56872	489978
104	57357	488902
105	57909	488403
106	58510	488317
107	59086	488014
108	59671	487774
109	60181	486922
110	60791	486876
111	61684	489072
112	62219	488392
113	62696	487269
114	63322	487308
115	63899	486954
116	64466	486530
117	65018	485988
118	65603	485689
119	66280	486057
120	66898	485981
121	67449	485416
122	68009	484915
123	68619	484764
124	69179	484254
125	69633	483013
126	70176	482394
127	70761	482061
128	71338	481673
129	71898	481169
130	72357	479992
131	72875	479213
132	73385	478384
133	73961	477992
134	74538	477601
135	75032	476673
136	75641	476488
137	76234	476191
138	76761	475477
139	77271	474666
140	77831	474162
141	78340	473355
142	78933	473050
143	79551	472889
144	80111	472382
145	80621	471582
146	81240	471413
147	81758	470661
148	82284	469960
149	82810	469260
150	83453	469219
151	84055	468943
152	84548	468058
153	85141	467727
154	85659	466985
155	86144	466064
156	86737	465732
157	87297	465220
158	87807	464442
159	88408	464146
160	88993	463762
161	89562	463290
162	90180	463074
163	90732	462512
164	91258	461823
165	92001	462223
166	92561	461697
167	93129	461211
168	93656	460523
169	94149	459669
170	94677	458991
171	95277	458660
172	95795	457935
173	96329	457289
174	97057	457555
175	97483	456400
176	98001	455681
177	98536	455039
178	99121	454629
179	99739	454370
180	100241	453579
181	100776	452938
182	101269	452114
183	101903	451921
184	102572	451871
185	103073	451087
186	103617	450485
187	104110	449667
188	104636	448996
189	105129	448184
190	105698	447696
191	106241	447098
192	106842	446745
193	107393	446183
