iter	Logloss	Accuracy
0	0.656633084	0.7904191617
1	0.6327424857	0.8038922156
2	0.6072809334	0.8098802395
3	0.5866399865	0.8128742515
4	0.5675605703	0.8128742515
5	0.5535371742	0.8128742515
6	0.5391469133	0.8113772455
7	0.5291952053	0.8008982036
8	0.5175417811	0.8068862275
9	0.5067060909	0.8098802395
10	0.4974864461	0.8143712575
11	0.4908221279	0.8158682635
12	0.4824749347	0.8113772455
13	0.4754822722	0.8128742515
14	0.4713457717	0.8113772455
15	0.4666953335	0.8128742515
16	0.4629571864	0.8128742515
17	0.4592606753	0.8143712575
18	0.4566452441	0.8098802395
19	0.4552599088	0.8158682635
20	0.452368545	0.8128742515
21	0.449733283	0.8203592814
22	0.4460288257	0.8233532934
23	0.4438129105	0.8278443114
24	0.4402665279	0.8293413174
25	0.4360230538	0.8278443114
26	0.4325247305	0.8308383234
27	0.4289348842	0.8308383234
28	0.4257871534	0.8263473054
29	0.4221880814	0.8293413174
30	0.4203606221	0.8278443114
31	0.4190260972	0.8338323353
32	0.4177779841	0.8353293413
33	0.4165575741	0.8383233533
34	0.4152271013	0.8398203593
35	0.4116949612	0.8413173653
36	0.4099823905	0.8428143713
37	0.4089268593	0.8443113772
38	0.4075561716	0.8458083832
39	0.4067697427	0.8458083832
40	0.4054092407	0.8473053892
41	0.4031261019	0.8458083832
42	0.4004321413	0.8473053892
43	0.3995554213	0.8488023952
44	0.3989788906	0.8502994012
45	0.3971666072	0.8517964072
46	0.3952511498	0.8517964072
47	0.3942178462	0.8502994012
48	0.3940530418	0.8502994012
49	0.3933969508	0.8502994012
50	0.3922149885	0.8502994012
51	0.391048937	0.8517964072
52	0.3895263972	0.8547904192
53	0.3882320011	0.8517964072
54	0.3876785364	0.8517964072
55	0.3867385355	0.8488023952
56	0.386440633	0.8488023952
57	0.3862547799	0.8488023952
58	0.3856333105	0.8488023952
59	0.3847391723	0.8488023952
60	0.3840896576	0.8488023952
61	0.3830862728	0.8517964072
62	0.3824352614	0.8517964072
63	0.3816872569	0.8532934132
64	0.3810467881	0.8547904192
65	0.3803168544	0.8562874251
66	0.3788751147	0.8622754491
67	0.3788741445	0.8622754491
68	0.3781298091	0.8622754491
69	0.377823673	0.8622754491
70	0.3770920024	0.8637724551
71	0.3770827012	0.8637724551
72	0.3763707012	0.8637724551
73	0.3755556676	0.8622754491
74	0.3755421444	0.8622754491
75	0.3742857316	0.8637724551
76	0.3731091755	0.8637724551
77	0.3726512899	0.8622754491
78	0.3723631928	0.8622754491
79	0.3717565469	0.8622754491
80	0.3713261583	0.8637724551
81	0.3707168241	0.8652694611
82	0.3694525172	0.8682634731
83	0.3693604399	0.8682634731
84	0.3687392475	0.8682634731
85	0.3686149251	0.869760479
86	0.3670946967	0.8682634731
87	0.3665566209	0.8682634731
88	0.3664259402	0.8682634731
89	0.3642860142	0.8682634731
90	0.3642011374	0.8682634731
91	0.3637219067	0.8652694611
92	0.3635603632	0.8667664671
93	0.3631286689	0.8667664671
94	0.3626161054	0.8667664671
95	0.3625121856	0.8667664671
96	0.3623773615	0.8667664671
97	0.3623065794	0.8667664671
98	0.3622134058	0.8667664671
99	0.3619484966	0.8667664671
