iter	Passed	Remaining
0	1	103
1	2	100
2	3	99
3	4	96
4	4	93
5	5	84
6	6	84
7	6	78
8	7	75
9	8	75
10	9	75
11	10	75
12	11	74
13	12	74
14	12	71
15	13	69
16	14	68
17	15	68
18	15	67
19	16	65
20	17	64
21	18	64
22	19	63
23	19	62
24	20	62
25	21	61
26	22	60
27	23	60
28	24	59
29	25	59
30	26	58
31	27	57
32	28	56
33	28	56
34	29	55
35	30	54
36	31	53
37	32	53
38	33	52
39	34	51
40	35	50
41	36	49
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	45
48	42	43
49	42	42
50	43	42
51	44	41
52	45	40
53	46	39
54	47	38
55	48	37
56	49	37
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	23
72	62	23
73	63	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
